fid,qc_id,corrltv,prd_fsc,ciclo,entidad,redi,estado,municip,parroqu,categor,subctgr,mnt_pry,fech_nc,cotizcn,mnt_pr_,nmbr_pr,dscrpc_,estts_p,huso_nc,hus_fnl,crd_nr_,crd_st_,tipo_br,cntdd__,undd_br,mtrls_c,mtrl_tp,mtrl_cn,clsfccn,motivo,longitd,latitud,nrmlzd_,ctgrs_m,icon_url
"287","285",PI-2022-C-9-E-4-00037961,2022,C9,ALCALDÍA DE ACOSTA (EDO. FALCÓN),Occidental,Falcón,Acosta,San Juan De Los Cayos,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",25932.8859060403,2022/08/16,5.96,25932.8859060403,"ORNATO PARA LA MEJORA DE LA VIA PRINCIPAL MORON ? MIRIMIRE ENTRE EL SECTOR BOCA DE TOCUYO - SAN JUAN DE LOS CAYOS, MUNICIPIO ACOSTA DEL ESTADO FALCON","COMPRENDE LA LIMPIEZA DE MALEZA Y VEGETACION CON MAQUINARIA PESADA (CATERPILLAR D6) PARA DAR MANTENIMIENTO AL HOMBRILLO Y BRINDAR MAYOR SEGURIDAD A LOS CONDUCTORES QUE TRANSITAN ESTA VIA, A LA VEZ QUE SE LE ESTARA DANDO MAYOR VISTA A LAS ENTRADAS DE LAS",Culminado,"19","19","1234425","564360",Rehabilitación o Mejora,14000,Metros,,,,heterogeneo_asf,Por descripción,-68.3480257807852,11.0565146504719,-0.558298474149509,"1",./0.png
"288","286",PI-2023-C-10-E-109-00039642,2023,C10,ALCALDÍA DE FRANCISCO JAVIER PULGAR (EDO. ZULIA),Occidental,Zulia,Francisco Javier Pulgar,Simón Rodríguez,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",47002.5974025974,2023/06/09,26.95,47002.5974025974,Bacheo y carpeta de rodamiento en su primera etapa de la via principal de Pueblo Nuevo el Chivo las Rurales Prg. 1+300 hasta Prog. 4+443 de la parroquia Simon Rodriguez municipio Francisco Javier Pulgar del estado Zulia.,"Este proyecto consiste en relizar en su primera etapa un bacheo para corregir fallas existentes en el pavimento como lo son piel de cocodrilo, huecos, desintegracion y disgregacion asfaltica, fallas de borde entre otras, para luego ejecutar una carpeta d",Culminado,"19","19","994853","212398",Rehabilitación o Mejora,20658,m2,Si,Asfalto Tipó Iv En Caliente,"400",bacheo/carpeta,Elementos no asfalticos,-71.6149355540159,8.96778574510512,-0.249946895807399,"1",./0.png
"289","287",PI-2023-C-10-E-118-00039541,2023,C10,ALCALDÍA DE GUAICAIPURO (EDO. MIRANDA),Central,Miranda,Guaicaipuro,Los Teques,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),31566.9758812616,2023/06/09,26.95,31566.9758812616,"REHABILITACIÓN DE TRAMO VIAL QUE COMPRENDE: LA AVENIDA PEDRO RUSSO FERRER HASTA BARRIO VENEZUELA, PARROQUIA LOS TEQUES, MUNICIPIO GUAICAIPURO.","SE PROYECTA LA ATENCIÒN DE BACHEO MENOR EN EL CIRCUITO VIAL QUE INICIA DESDE LA AV. PEDRO RUSSO FERRER HASTA BARRIO VENEZUELA. CON LA INTERVENCIÒN DE APROXIMADAMENTE 5.159,57M2 DE LA CARPETA ASFÁLTICA.",Culminado,"19","19","1148592","715850",Rehabilitación o Mejora,5159.57,m2,Si,Mezcla Asfaltica Caliente,"200",bacheo,Elementos no asfalticos,-67.0207162035858,10.3486271712146,-0.475844543222888,"1",./0.png
"290","288",PI-2023-C-10-E-118-00039542,2023,C10,ALCALDÍA DE GUAICAIPURO (EDO. MIRANDA),Central,Miranda,Guaicaipuro,Paracotos,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),65501.6697588126,2023/06/09,26.95,65501.6697588126,"SUSTITUCION DE LA CARPETA ASFALTICA EN LA VIA PRINCIPAL DE LA ZONA INDUSTRIAL DE PARACOTOS ""LA CUMACA"", INCLUYE ESCARIFICACIÒN, S/T/C DE MEZCLA ASFALTICA EN CALIENTE, PARROQUIA PARACOTOS, MUNICIPIO GUAICAIPURO.","SE PROYECTA LA ATENCIÒN CON CORTE Y COLOCACIÒN DE 415 TONELADAS DE MEZCLA ASFALTICA EN CALIENTE, EN CARPETAS CORRIDAS, PARA LA INTERVENCIÒN DE APROXIMADAMENTE 2.943,26 M2 DE LA SUPERFICIE VIAL.",Culminado,"19","19","1135934","725832",Rehabilitación o Mejora,2943.26,m2,Si,Mezcla Asfaltica Caliente,"415",carpeta,Elementos no asfalticos,-66.9487824174595,10.2649282846061,0.020783823967095,"2",./0.png
"291","289",PI-2023-C-10-E-152-00039628,2023,C10,ALCALDÍA DE LA CAÑADA DE URDANETA (EDO. ZULIA),Occidental,Zulia,La Cañada De Urdaneta,Concepción,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),97068.6456400742,2023/06/09,26.95,97068.6456400742,"REHABILITACION VIAL DE LA AVENIDA N°1, DESDE LA INTENDENCIA MUNICIPAL HASTA LA SEDE DE POLIURDANETA, SECTOR LOS POZOS, PARROQUIA CONCEPCION, MUNICIPIO LA CAÑADA DE URDANETA, ESTADO ZULIA.","CONSISTE EN LA REHABILITACION VIAL DE LA AVENIDA N°1, EN LA CUAL SE REALIZARAN TRABAJOS DE LIMPIEZA, BOTE, RIEGO DE ADHERENCIA, COLOCACION DE 513 TONELADAS DE MEZCLA ASFALTICA EN CALIENTE TIPO III PARA MEJORAR UNA VIALIDAD APROXIMADA DE 4.000 M2 CON UNA",Culminado,"19","19","1152700","206420",Rehabilitación o Mejora,4000,m2,Si,Toneladas De Mezcla Asfáltica En Caliente Tipo Iii,"513",carpeta,Elementos no asfalticos,-71.6785621167651,10.4190306105993,0.482761048385419,"2",./0.png
"292","290",PI-2023-C-10-E-260-00039692,2023,C10,ALCALDÍA DE SAN GERÓNIMO DE GUAYABAL (EDO. GUÁRICO),Los LLanos,Guárico,San Gerónimo De Guayabal,San Gerónimo De Guayabal,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",43229.7102040816,2023/06/09,26.95,43229.7102040816,"REHABILITACION DE LA VIA LO-10 TRAMO COMPRENDIDO DESDE LAS MINAS HASTA CULEBRITAS DEL MUNICIPIO SAN JERONIMO DE GUAYABAL, ESTADO GUARICO.","CONSISTE EN LA DEMOLICION DE PAVIMENTO ASFALTICO, CONFORMACION DE LA VIA, LIMPIEZA DE LATERALES Y COLOCACION  DE MATERIAL GRANULAR (RIPIO) EN BACHES, EMPLEANDO COMPRESOR CON MARTILLO, VIBROCOMPACTADORA, MOTONIVELADORA Y CAMION TIPO VOLTEO.",Culminado,"19","19","869378","719856",Rehabilitación o Mejora,1600,m2,Si,Granzon (Ripio) M3,"320",heterogeneo_asf,Por descripción,-67.2406184985202,7.91902213060735,-0.305162446469266,"1",./0.png
"293","291",PI-2023-C-10-E-296-00039619,2023,C10,ALCALDÍA DE SUCRE (EDO. YARACUY),Occidental,Yaracuy,Sucre,Capital Sucre,Vialidad,Rural,12476.8089053803,2023/06/09,26.95,12476.8089053803,"REHABILITACIÓN DE VIALIDAD RURAL DE LA COMUNIDAD DE SAN IGNACIO, MUNICIPIO SUCRE, ESTADO YARACUY","NIVELACIÓN REPLANTEO DE 17576 M2 DE VIALIDAD, SUMINISTRO Y COLOCACION DE 80 M3 DE GRANZON TIPO GRIS QUE BENEFICIARA A LOS HABITANTES DE SAN IGNACIO DONDE MEJORARA EL ACCESO A LA COMUNIDAD",Culminado,"19","19","1137578","517771",Rehabilitación o Mejora,17576,m2,Si,Granzon Gris Metros Cubicos,"80",heterogeneo_asf,Por descripción,-68.8388359013403,10.2899491034125,-0.755225830374792,"1",./0.png
"294","292",PI-2023-C-10-E-297-00039629,2023,C10,ALCALDÍA DE SUCRE (EDO. ZULIA),Occidental,Zulia,Sucre,Rómulo Gallegos,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",97068.6456400742,2023/06/09,26.95,97068.6456400742,"Rehabilitación vial de la Carretera Panamericana desde la Estación de Servicios El Carmen hasta el estacionamiento Vale Cacho, Sector Bomba El Carmen parroquia Rómulo Gallegos, Municipio Sucre del Estado Zulia.","Consiste en la realización de trabajos de limpieza, bote de escombros, relleno y conformación de la vía, riego de adherencia, colocación de 250 toneladas de mezcla asfáltica en caliente tipo III para mejorar una vialidad aproximada de 1.200 mts cuad",Culminado,"19","19","1012418","274082",Rehabilitación o Mejora,1200,m2,Si,Toneladas De Mezcla Asfáltica En Caliente Tipo Iii,"250",carpeta,Elementos no asfalticos,-71.0547316481999,9.1534995186833,0.482761048385419,"2",./0.png
"295","293",PI-2023-C-10-E-60-00039623,2023,C10,ALCALDÍA DE CACIQUE MANAURE (EDO. FALCÓN),Occidental,Falcón,Cacique Manaure,Capital Cacique Manaure,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),22890.9298701299,2023/06/09,26.95,22890.9298701299,REHABILITACIÓN DE LA TRANSVERSAL 16 DEL SECTOR ANTONIO JOSE DE SUCRE (TRAMO PUENTE AJS - CALLE 5E) YARACAL MUNICIPIO CACIQUE MANAURE ESTADO FALCON,"
EL PROYECTO CONSISTE EN LA CONSTRUCCION DE BASE CON MATERIAL GRANULAR GRANZON EN UNA LONGITUD DE 430 m CON UN ESPESOR DE 10 cm Y UN ANCHO PROMEDIO DE 6 m PARA GARANTIZAR LA TRANSITABILIDAD DE LOS VEHICULOS PARTICULARES DE LAS PERSONAS QUE HACEN VIDA EN",Culminado,"19","19","1211850","549393",Rehabilitación o Mejora,2580,m2,Si,Granzon,"322",heterogeneo_asf,Por descripción,-68.5503930990811,10.9652520280661,-0.602816973848641,"1",./0.png
"296","294",PI-2023-C-10-E-60-00039624,2023,C10,ALCALDÍA DE CACIQUE MANAURE (EDO. FALCÓN),Occidental,Falcón,Cacique Manaure,Capital Cacique Manaure,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),25811.1480519481,2023/06/09,26.95,25811.1480519481,REHABILITACIÓN DE LA CALLE A3 DEL SECTOR YARACAL II (TRAMO TRANSVERSAL 2 - PUENTE AJS) YARACAL MUNICIPIO CACIQUE MANAURE ESTADO FALCON,EL PROYECTO CONSISTE EN LA CONSTRUCCION DE BASE CON MATERIAL GRANULAR GRANZON EN UNA LONGITUD DE 510 m CON UN ESPESOR DE 10 cm Y UN ANCHO PROMEDIO DE 6 m PARA GARANTIZAR LA TRANSITABILIDAD DE LOS VEHICULOS PARTICULARES DE LAS PERSONAS QUE HACEN VIDA EN E,Culminado,"19","19","1212183","549123",Rehabilitación o Mejora,3060,m2,Si,Granzon,"382",heterogeneo_asf,Por descripción,-68.5520340380409,10.969577364749,-0.560080086558366,"1",./0.png
"297","295",PI-2023-C-10-E-62-00039543,2023,C10,ALCALDÍA DE CAMATAGUA (EDO. ARAGUA),Central,Aragua,Camatagua,Camatagua,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),87361.7810760668,2023/06/09,26.95,87361.7810760668,"REHABILITACIÓN CON BACHEO DE CAPA ASFÁLTICA  EN LA ENTRADA PRINCIPAL  DE CAMATAGUA, SECTOR LA RECTA, DE LA PARROQUIA CAMATAGUA, MUNICIPIO CAMATAGUA, ESTADO ARAGUA.","CON ESTE PROYECTO SE PRETENDE REHABILITAR UN TRAMO DE LA ENTRADA PRINCIPAL DE CAMATAGUA  CON 500 TONELADAS DE MATERIAL ASFÁLTICO CALIENTE, PARA ELLO SE REMOVERÁ  TODO EL MATERIAL SUELTO DE ASFALTO VIEJO Y SE LIMPIARA MUY BIEN LA ZONA AFECTADA.
SE CORR",Culminado,"19","19","1084497","730669",Rehabilitación o Mejora,4291,m2,Si,Toneladas De Asfalto,"500",bacheo,Elementos no asfalticos,-66.9085416834478,9.79786855969922,0.340702766782756,"2",./0.png
"298","296",PI-2023-C-10-E-89-00039607,2023,C10,ALCALDÍA DE DEMOCRACIA (EDO. FALCÓN),Occidental,Falcón,Democracia,Purureche,Vialidad,Rural,44859.2623376623,2023/06/13,26.95,44859.2623376623,"REHABILITACIÓN A LA VIALIDAD RURAL DESDE EL CASERÍO EL TIGRE - HASTA EL CASERÍO EL LINDERO, PARROQUIA PURURECHE, MUNICIPIO DEMOCRACIA DEL ESTADO FALCÓN.","SE TIENE PREVISTO REALIZAR LAS SIGUIENTE ACTIVIDADES: DEFORESTACION LIVIANA, ALTURA MAX 8MTS, 4 HA, EXCAVACIÓN EN BANQUEOS Y CARGA DE MATERIAL HASTA 200 MTS DISTANCIA EN ALGUNOS TRAMOS APROX 280M3, RELLENO COMPACTADO PASO MAQUINA APROX 900M3, ACONDICION",Culminado,"19","19","1173957","341989",Rehabilitación o Mejora,140000,m2,Si,Relleno Material Tipo Granza En M3,"960",heterogeneo_asf,Por descripción,-70.1227212358056,10.8090439280958,-0.281314233243259,"1",./0.png
"299","297",PI-2023-C-11-E-343-00039747,2023,C11,GOBERNACIÓN DE BARINAS,Los LLanos,Barinas,Barinas,Ramón Ignacio Méndez,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),98661.8444846293,2023/06/27,27.65,98661.8444846293,"Rehabilitación y Mejoras de la via principal del sector Los libertadores, Parroquia Ramón Ignacio Méndez, Municipio Barinas, Estado Barinas","El proyecto consiste en la rehabilitación de la vía principal del sector Los Libertadores, mediante la colocación de 840 m3 de material granular (Granzón), para rehabilitar 8400 m2 de superficie, empleando maquinaria pesada tipo patrol, retro-excavad",Culminado,"19","19","950253","367460",Rehabilitación o Mejora,8400,m2,Si,M3 De Material Granular (Granzón),"840",heterogeneo_asf,Por descripción,-70.2082037970516,8.59034710581258,0.506077237523161,"2",./0.png
"300","298",PI-2023-C-11-E-350-00039798,2023,C11,GOBERNACIÓN DE LARA,Occidental,Lara,Morán,Humocaro Bajo,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",18083.1826401447,2023/06/27,27.65,18083.1826401447,"Mejoras viales en la Local 05 Progresiva 15+000, vía Los Humocaros, parroquia Humocaro Bajo, municipio Morán, estado Lara","Con  la finalidad de corregir la falla de borde producto del deslizamiento natural del terreno, en esta etapa se ejecutara la construcción de una variante de un tramo de aproximadamente 100 m de longitud por 4m de ancho, para lo cual se requerirá del u",Culminado,"19","19","1069431","402787",Ampliación,400,m2,Si,M3 De Granzon,"300",heterogeneo_asf,Por descripción,-69.8858570169489,9.67342673616218,-0.673177521826627,"1",./0.png
"301","299",PI-2023-C-11-E-351-00039756,2023,C11,GOBERNACIÓN DE MÉRIDA,Los Andes,Mérida,Alberto Adriani,Héctor Amable Mora,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",53940.4998191682,2023/06/27,27.65,53940.4998191682,Rehabilitación integral de 720 m2 de la Troncal 001 en el Sector Caño Amarillo de la parroquia Héctor Amable Mora del municipio Alberto Adriani del Estado bolivariano de Mérida,"Rehabilitación integral de 720 m2 de la Troncal 001 en el Sector Caño Amarillo de la parroquia Héctor Amable Mora del municipio Alberto Adriani del Estado bolivariano de Mérida con la colocación de 135 toneladas de asfalto, reparación del sistema d",Culminado,"19","19","966021","216147",Rehabilitación o Mejora,720,m2,Si,Asfalto,"135",carpeta,Elementos no asfalticos,-71.5809779071851,8.7221269831187,-0.148411895630358,"1",./0.png
"302","300",PI-2023-C-11-E-355-00039783,2023,C11,GOBERNACIÓN DE PORTUGUESA,Los LLanos,Portuguesa,Santa Rosalía,Capital Santa Rosalía,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",178280.044122966,2023/06/27,27.65,178280.044122966,"Rehabilitación de la Vialidad Local 04 en la Población El Playón, Municipio Santa Rosalía, Estado Portuguesa","Consiste en recuperar la vía Local 04, realizando las siguientes actividades: riego de adherencia empleando material asfáltico, imprimación de 882 toneladas de asfalto para rehabilitar 8.935 m2, de igual forma la colocación de mezcla asfáltica en ca",Culminado,"19","19","1002673","497222",Rehabilitación o Mejora,8935,m2,Si,Mezcla Asfaltica En Toneladas,"882",carpeta,Elementos no asfalticos,-69.0681104107409,9.20624600045964,1.67127579884422,"2",./1.png
"303","301",PI-2023-C-11-E-355-00039784,2023,C11,GOBERNACIÓN DE PORTUGUESA,Los LLanos,Portuguesa,Guanare,Capital Guanare,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",59628.8133815552,2023/06/27,27.65,59628.8133815552,"Rehabilitación del tramo vial Local 06 comprendido desde la Av. José María Vargas de Guanare hasta la entrada de Papelón, Estado Portuguesa.","Consiste en recuperar la vía Local 06, realizando las siguientes actividades: riego de adherencia empleando material asfáltico, imprimación de 297 toneladas de asfalto para rehabilitar 3.008 m2, de igual forma la colocación de mezcla asfáltica en ca",Culminado,"19","19","986491","449012",Rehabilitación o Mejora,3008,m2,Si,Mezcla Asfaltica En Toneladas,"297",carpeta,Elementos no asfalticos,-69.7321006208715,9.02347373753038,-0.065164411897443,"1",./0.png
"304","302",PI-2023-C-11-E-358-00039768,2023,C11,GOBERNACIÓN DE TRUJILLO,Los Andes,Trujillo,Carache,Santa Cruz,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",75949.3670886076,2023/06/27,27.65,75949.3670886076,"REHABILITACIÓN DE LA VIALIDAD, TRAMO LA LIBERTAD - LIMITE LARA, PARROQUIA SANTA CRUZ, MUNICIPIO CARACHE ESTADO TRUJILLO .","SUMINISTRO , TRANSPORTE Y COLOCACIÓN DE MEZCLA ASFÁLTICA DE 6200 TM (CARPETA CORRIDA Y BACHEO)   PARA UNA RECUPERACIÓN DE APROXIMADAMENTE 27000 M2 DEL TRAMO LA LIBERTAD - LIMITE LARA, PARROQUIA SANTA CRUZ, MUNICIPIO CARACHE ESTADO TRUJILLO .",Aprobado,"19","19","1087042","367813",Rehabilitación o Mejora,27000,m2,Si,Asfalto Tipo Iii (Toneladas),"6200",bacheo/carpeta,Elementos no asfalticos,-70.2321798760851,9.82225161278506,0.173684064780043,"2",./0.png
"305","303",PI-2023-C-11-E-359-00039826,2023,C11,GOBERNACIÓN DE LA GUAIRA,Central,La Guaira,Vargas,Catia La Mar,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),175016.741545034,2023/07/04,28.09,175016.741545034,"REHABILITACIÓN INTEGRAL DE LA VIALIDAD DESDE LA ENTRADA A LA PANADERÍA BAHÍA DE CATAMARE  HASTA LA CANCHA DE CATAMARE   Y LA CONSTRUCCION DE TANQUILLA DE CONCRETO PARA CAPTACIÓN DE AGUAS PLUVIALES EN EL MISMO SECTOR COMUNAS LAS MARINAS, PARROQUIA  CA","CONSISTE EN LA ESCARIFICACIÓN DE LA VÍA, E IMPRIMACIÓN DE 180 TONELADAS DE ASFALTO PARA REHABILITAR 2560 M2 EN ESTE TRAMO VIAL, EMPLEANDO MAQUINARIA PESADA TIPO VIBRO-COMPACTADOR, ESCARIFICADORA, CAMIÓN TIPO VOLTEO Y PAVIMENTADORA. INCLUYE DEMARCACI�",Culminado,"19","19","1172099","713989",Rehabilitación o Mejora,2560,m2,Si,Material Asfaltico Tipo Rc-250 (Ton),"180",heterogeneo_asf,Por descripción,-67.046882686655,10.596239763971,1.62351793084126,"2",./1.png
"306","304",PI-2023-C-11-E-361-00039793,2023,C11,GOBERNACIÓN DE ZULIA,Occidental,Zulia,San Francisco,Domitila Flores,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),121220.61482821,2023/06/27,27.65,121220.61482821,"REASFALTADO DE LA VÍA A PERIJÁ EN EL TRAMO COMPRENDIDO DESDE BALGRES CERÁMICAS HASTA FERRETERÍA BICOLOR, PARROQUIA DOMITILA FLORES, MUNICIPIO SAN FRANCISCO, ESTADO ZULIA.","SE PLANTEA EL REASFALTADO DE 1142 METROS LINEALES  DE VÍA, EN VARIOS TRAMOS DETERIORADOS (ANCHO VARIABLE), A TRAVÉS DE LAS ACTIVIDADES DE:  LIMPIEZA A MANO EN CALZADA  Y RIEGO DE ADHERENCIA CON RC250 EN UN ÁREA DE 14.832 M2, SUMINISTRO, TRANSPORTE Y C",Culminado,"19","19","1170042","208788",Rehabilitación o Mejora,14832,m2,Si,Toneladas De Asfalto En Caliente Tipo Iii,"1705",carpeta,Elementos no asfalticos,-71.6529996828337,10.5809012356938,0.836220934176855,"2",./1.png
"307","305",PI-2023-C-11-E-361-00039794,2023,C11,GOBERNACIÓN DE ZULIA,Occidental,Zulia,Maracaibo,Venancio Pulgar,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),134887.007233273,2023/06/27,27.65,134887.007233273,"REHABILITACIÓN DE LA CALLE DE SERVICIO DEL CORREDOR VIAL EL MARITE (AV.108A), DESDE LA ESTACIÓN DE SERVICIO EL MARITE HASTA LA CALLE 72 DEL BARRIO JOSE FELIX RIVAS, PARROQUIA VENANCIO PULGAR, MUNICIPIO MARACAIBO, ESTADO ZULIA.","SE PLANTEA EL REASFALTADO DE 100 METROS LINEALES  DE VÍA ASI COMO EL ASFALTADO DE 1141 METROS LINEALES EN TRAMOS DETERIORADOS (ANCHO VARIABLE), A TRAVÉS DE LAS SIGUIENTES ACTIVIDADES: 880 M2 DE LIMPIEZA A MANO EN CALZADA, RIEGO DE ADHERENCIA CON RC250",Culminado,"19","19","1184436","205724",Rehabilitación o Mejora,9444,m2,Si,Toneladas De Mezcla Asfáltica En Caliente Tipo Iii,"1459",carpeta,Elementos no asfalticos,-71.6967244473851,10.6922818328552,1.0362262199176,"2",./1.png
"308","306",PI-2023-C-11-E-361-00039804,2023,C11,GOBERNACIÓN DE ZULIA,Occidental,Zulia,Cabimas,San Benito,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),63191.4195298373,2023/06/27,27.65,63191.4195298373,"REASFALTADO EN TRAMOS CRÍTICOS DE LA AV. 32, COMPRENDIDOS ENTRE LAS CARRETERAS J Y H, PARROQUIA SAN BENITO, MUNICIPIO CABIMAS, ESTADO ZULIA.","SE PREVEE EL REASFALTADO DE TRAMOS CRITICOS EN UNA LONGITUD DE VÍA DE 850 M, A TRAVÉS DE LA LIMPIEZA EN CALZADA, RIEGO DE ADHERENCIA CON RC-250 EN UN AREA DE 8500 M2, COLOCACIÓN DE 1000 TONELADAS DE MEZCLA ASFÁLTICA EN CALIENTE TIPO III PARA CARPETAS",Culminado,"19","19","1151580","232569",Rehabilitación o Mejora,8500,m2,Si,Toneladas De Mezcla Asfáltica En Caliente Tipo Iii,"1000",carpeta,Elementos no asfalticos,-71.4361678767381,10.3973019729533,-0.013026287983711,"1",./0.png
"309","307",PI-2023-C-11-E-361-00039805,2023,C11,GOBERNACIÓN DE ZULIA,Occidental,Zulia,Maracaibo,Chiquinquirá,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),86479.575045208,2023/06/27,27.65,86479.575045208,"REASFALTADO DE LA CALLE 100, ENTRE LAS AVENIDAS.13A Y 17 (SENTIDO ESTE - OESTE), SECTOR CASCO CENTRAL, PARROQUIA CHIQUINQUIRA, MUNICIPIO MARACAIBO, ESTADO ZULIA.","SE PLANTEA EL REASFALTADO DE 1,38 KMS CON UN ANCHO PROMEDIO DE 13,80 MTS DE VIALIDAD, MEDIANTE LA LIMPIEZA DE CALZADA EN UN ÁREA DE12.545 M2, RIEGO DE ADHERENCIA CON RC-250, COLOCACIÓN DE 1.443 TON DE MEZCLA ASFALTICA EN CALIENTE TIPO III PARA LA CONST",Culminado,"19","19","1177283","213097",Rehabilitación o Mejora,12545,m2,Si,Toneladas De Asfalto En Caliente Tipo Iii,"1443",carpeta,Elementos no asfalticos,-71.6163891492904,10.6399644273432,0.327791834324915,"2",./0.png
"310","308",PI-2023-C-11-E-361-00039936,2023,C11,GOBERNACIÓN DE ZULIA,Occidental,Zulia,Simón Bolívar,Manuel Manrique,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),26509.8130198915,2023/06/27,27.65,26509.8130198915,"REASFALTADO EN TRAMOS CRITÍCOS DEL CORREDOR VIAL CARRETERA E, ENTRE LAS INTERSECCIONES CON LAS AVENIDAS INTERCOMUNAL Y 23, PARROQUIA MANUEL MANRIQUE, MUNICIPIO SIMÓN BOLÍVAR, ESTADO ZULIA","SE CONTEMPLA EL REASFALTADO DE TRAMOS CRÍTICOS DETERIORADOS EN UNA LONGITUD DE 450 M, A TRAVES DE LA LIMPIEZA DE 3.470 M2 EN CALZADA, RIEGO DE ADHERENCIA CON RC-250 Y COLOCACIÓN DE 400 TONELADAS DE MEZCLA ASFÁLTICA EN CALIENTE TIPO III, PARA CARPETA D",Culminado,"19","19","1135254","241796",Rehabilitación o Mejora,3470,m2,Si,Toneladas De Asfalto En Caliente Tipo Iii,"400",carpeta,Elementos no asfalticos,-71.3672202908862,10.2555562590482,-0.549855245765795,"1",./0.png
"311","309",PI-2023-C-12-E-119-00039910,2023,C12,ALCALDÍA DE GUAJIRA (EDO. ZULIA),Occidental,Zulia,Indígena Bolivariano Guajira,Guajira,Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)",74615.6538189533,2023/07/12,28.28,74615.6538189533,"BACHEO CON MEZCLA   ASFALTICA EN CALIENTE CON EQUIPO LIVIANO Y PESADO EN LA TRONCAL DEL CARIBE T6, EN TRAMOS CRITICOS, DESDE EL SECTOR LAS GUARDIAS HASTA LOS ACEITUNITOS, PARROQUIA GUAJIRA, MUNICIPIO INDIGENA BOLIVARIANO GUAJIRA, ESTADO ZULIA, FASE 1.","EL PROYECTO CONTEMPLA EL BACHEO CON EQUIPO LIVIANO Y PESADO PARA REMOVER EL PAVIMENTO EN LA TRONCAL DEL CARIBE EN TRAMOS CRITICOS,COLOCANDO 325 TONELADAS DE MEZCLA ASFALTICA EN CALIENTE, BENEFICIANDO A UNA GRAN FLUJO VEHICULAR QUE TRANSITAN  A DIARIO POR",Culminado,"19","19","1251128","177752",Rehabilitación o Mejora,2000,m2,Si,Toneladas De Mezcla Asfaltica En Caliente Tipo Iii,"325",bacheo,Elementos no asfalticos,-71.9090861041472,11.1932768348853,0.154165402086398,"2",./0.png
"312","320",PI-2023-C-12-E-321-00039930,2023,C12,ALCALDÍA DE VARGAS (EDO. LA GUAIRA),Central,La Guaira,Vargas,Urimare,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),99036.3928571429,2023/07/12,28.28,99036.3928571429,"I ETAPA DE LA REPAVIMENTACION VIAL Y DEMARCACION INTEGRAL DE LA  VIA PRINCIPAL DE LA URBANIZACION PLAYA GRANDE, PARROQUIA URIMARE, MUNICIPIO VARGAS, ESTADO LA GUAIRA.","Se plantea:
?	Repavimentación y demarcacion integral de la via principal de la urbanización playa grande; incluye escarificacion del area total asfaltada con un espesor de 8 cm y un asfaltado con maquina finisher con mezcla asfaltica caliente tipo III",Culminado,"19","19","1173626","717737",Rehabilitación o Mejora,2723,m2,Si,Asfalto Caliente Tipo Iii,"613",carpeta,Elementos no asfalticos,-67.0090177399152,10.6094437326373,0.511558688080701,"2",./0.png
